"cov_measure","p","graph","distribution","rep","norm_Omega","norm_Sigma","FP","FN"
"corQuadrantmat",120,"omega_sparse","rmvnorm",1,12.5879501124129,6.83904620369359,0.161870503597122,0.392059553349876
"corQuadrantmat",120,"omega_sparse","rmvnorm",2,12.0573828674486,5.60904194836247,0.157335001563966,0.39454094292804
"corQuadrantmat",120,"omega_sparse","rmvnorm",3,12.6064095550312,6.8193874354442,0.164998436033782,0.420595533498759
"corQuadrantmat",120,"omega_sparse","rmvnorm",4,12.2847079192974,5.89415686240583,0.162183296840788,0.383374689826303
"corQuadrantmat",120,"omega_sparse","rmvnorm",5,12.3698224863937,6.21605093683959,0.16703159211761,0.378411910669975
"corQuadrantmat",120,"omega_sparse","rmvnorm",6,12.4403439402764,6.28195761572795,0.156396621832968,0.404466501240695
"corQuadrantmat",120,"omega_sparse","rmvnorm",7,13.1827704924632,5.35969550824353,0.162183296840788,0.409429280397022
"corQuadrantmat",120,"omega_sparse","rmvnorm",8,12.3966538703957,5.24010403582975,0.169221144823272,0.418114143920596
"corQuadrantmat",120,"omega_sparse","rmvnorm",9,12.2964610360502,5.70094213704678,0.168282765092274,0.36848635235732
"corQuadrantmat",120,"omega_sparse","rmvnorm",10,12.6910554440036,6.36664607628588,0.162183296840788,0.385856079404466
"corQuadrantmat",120,"omega_sparse","rmvnorm",11,12.5588921901614,6.71504443450469,0.162183296840788,0.395781637717122
"corQuadrantmat",120,"omega_sparse","rmvnorm",12,12.6257744376347,7.31215689583143,0.163278073193619,0.401985111662531
"corQuadrantmat",120,"omega_sparse","rmvnorm",13,12.5122393304772,6.32783639789619,0.16859555833594,0.37468982630273
"corQuadrantmat",120,"omega_sparse","rmvnorm",14,12.5871966883057,5.43169071550915,0.163434469815452,0.390818858560794
"corQuadrantmat",120,"omega_sparse","rmvnorm",15,12.6592635369304,6.94160925249464,0.162652486706287,0.380893300248139
"corQuadrantmat",120,"omega_sparse","rmvnorm",16,12.4401994432484,5.39632503018827,0.157647794807632,0.395781637717122
"corQuadrantmat",120,"omega_sparse","rmvnorm",17,12.5725023734772,5.75198297474774,0.171879887394432,0.399503722084367
"corQuadrantmat",120,"omega_sparse","rmvnorm",18,12.4824630717635,5.36120803742029,0.160775727244292,0.390818858560794
"corQuadrantmat",120,"omega_sparse","rmvnorm",19,12.694795481392,6.79700286216754,0.161557710353456,0.362282878411911
"corQuadrantmat",120,"omega_sparse","rmvnorm",20,12.7036105178928,5.31468023693713,0.169533938066938,0.43424317617866
